,Title,Poem,Poet,Tags
1,"
                    Terra Pericolosa
                ","
To map the consequences of regardless, of underestimate,
   Of feverish faith, of the mechanical modernism of your false terrain. As if
Port Sulphur remained nominal, its slick globules merely figurative
      Between territories of wait and wetlands of trust.
 
To etch the shallow-water horizon— a techno-utopian tribute
         To shrimp estuaries, bird rookeries, oyster bays,
To tube worms & sea turtles. To watercolor these pelican grasses,
            Oxidized, unapologetic executive marshes, roseated spoonbills.
 
For you who longed to smear concentric circles,
            To have trusted you with longitude and latitude,
To blur this sargassum border between mourning,
               Fighting, and willful denying of objects and subjects. As if
 
Generations of fishermen, scaling orders of magnitude,
                  Navigated oily streaks of miles in a legend of inches,
Skeletal, ghostly swarms of now-opaque, milky jellyfish. As if
                     to bury the blowout, rescind the rig. To fortify, to intone.
 
If naming were not violence, to witness an active verb:                      Top kill, junk shot, top hat, dance dance revolution.
These wayward scripts a frontier province palimpsest.
                        Offshore yet another beacon, another account. Explosive violet iridescent.
 
",Celina Su,"Nature,Animals,Seas, Rivers, & Streams,Arts & Sciences,Language & Linguistics,Social Commentaries,Money & Economics"
2,"
                    A Feeling Right Before the Feeling
                ","
At sunrise the deer eat
pieces of the quiet, they eat spaces
between the quiet
    & the sounds—;
         & the numbers on the calendar
lie flat in their boxes,
      they leak through tiny holes
             in the minutes,
            evenly so, so evenly,
 an active sense, before
         the sense was made…
 
There, now, opposite to set down,
            the agreed-upon, the shape
                 of the obvious
        drawn by an earlier
           enchantment before the new
                        anxiety set in:
         the workers are safe;
 the terror stilled for an hour;
a lover’s outline, dreamed or imagined,
       before you read the one-page book
     again, what was that book,
 it had no copyright—
 
& what was before?
         a life, the dazzler, the dark,
             the singing dust, it turned
when you turned, it orpheus-knew
what you forgot when you took the bowl
        of burning time across the room—
      & if the previous is closer
   to you now, should you
look, doesn’t matter if you do,
    you carry the some of it
with it, out into it—
 
                                                for LG 
 
",Brenda Hillman,
3,"
                    Phantom
                ","
She says she had a baby
but I don’t believe her
Let me tell you the feeling
of relief when I started to believe her
baby wasn’t real
“What’s she getting out of it?”
I surrender without a fight
Ok, you can have your baby
 
Sometimes all you can do is reify your worst fears
What if I can’t have healthy relationships
Ever
With anything
Even your cat
 
Undressing in the open window
Like being in public
Is it not knowing or not caring?
 
I’m offended reading memoir advertised as essay
I give a mini-lecture on insecure attachment
from the living room
As if to ask
Is that what you wanted?
Who you think I am
Improving my senses
You see I was siding with the baby
",Ali Power,"Living,Parenthood,The Mind"
4,"
                    The Invention of the Saxophone
                ","
It was Adolphe Sax, remember,
not Saxo Grammaticus, who gets the ovation.
And by the time he had brought all the components
together–the serpentine shape, the single reed,
the fit of the fingers,
the upward tilt of the golden bell–
it was already 1842, and one gets the feeling
that it was also very late at night.
 
There is something nocturnal about the sound,
something literally horny,
as some may have noticed on that historic date
when the first odd notes wobbled out of his studio
into the small, darkened town,
 
summoning the insomniacs (who were up
waiting for the invention of jazz) to their windows,
but leaving the sleepers undisturbed,
evening deepening and warming the waters of their dreams.
 
For this is not the valved instrument of waking,
more the smoky voice of longing and loss,
the porpoise cry of the subconscious.
No one would ever think of blowing reveille
on a tenor without irony.
The men would only lie in their metal bunks,
fingers twined behind their heads,
afloat on pools of memory and desire.
 
And when the time has come to rouse the dead,
you will not see Gabriel clipping an alto
around his numinous neck.
 
An angel playing the world’s last song
on a glistening saxophone might be enough
to lift them back into the light of earth,
but really no further.
 
Once resurrected, they would only lie down
in the long cemetery grass
or lean alone against a lugubrious yew
and let the music do the ascending–
curling snakes charmed from their baskets–
while they wait for the shrill trumpet solo,
that will blow them all to kingdom come.
 
",Billy Collins,"Religion,The Spiritual,Arts & Sciences,Music"
5,"
                    [The earth shakes]
                ","
The earth shakes
just enough
to remind us. 
",Steve Sanfield,"Nature,Stars, Planets, Heavens"
6,"
                    Kitsilano (1963-69)
                ","



For Judy Williams Fraser 



1963-69 I lived on
the corner of Yew & York
on the 2nd floor
above  a corner store
with my sister Leni  & boyfriend soon to be husband Neap  Hoover
her friend Jo-Ann Huffman & her boyfriend Mike Sawyer
then  Elsa Young  (just left Robert who was with Maxine)
who met her lover Jack Wise next door
then my sister Mary
and my boyfriend  soon to be (later to unbe) husband Cliff Andstein
below us
bill bissett & martina & oolya  then painter-jogger  Gordon Payne
& Merrilyn  (who becomes my friend later)  then bill again then Gordon again
next to us
Bing Thom, Jay Bancroft & often Marian Penner, Rick Clarke
across the landing
John and Susan Newlove & children fathered by gerry gilbert
later the Ridgeways
and next to them directly opposite us:
Gerry Geisler (New Design Gallery)
and Helen Sturdy & children 
our kitchen faced theirs
apple pies in my oven & stew or toast in theirs
we cd smell everything like the time we fell asleep as pork hocks
simmered in my big red pot
charred and burned almost caught on fire
would have if Gerry hadnt woken us up
and that building a total tinderbox
always worried bill wd start one 
my bedroom / study faced
the Molson’s sign and Burrard Street Bridge
and I could watch the west end and highrises and planetarium grow
and white sheets on a clothesline across the street dry
as I’d sit at my bay window
and write and mark
on a smooth board cut to fit exactly the sill 
I’d glance up and see
people like  you  &  Jamie  &  Carol  &  Joan  &  Marcia  & the Trumans
and the Gadds  and the Lathams  and Lanny Beckman
walking up and down Yew Street
open the window & shout
drop by on your way back 
dropping by
everybody did it
days filled with coffee, tea, poetry, cigarette smoke
crises, trips, talkedy talk talk 
painting hard edged  strong coloured
also  intricate silver point mandalas
and collages 
a gallon of Calogna Red
one summery Saturday night
became a party
of 100 or even more
dancing in my bedroom to one music on a tape recorder
dancing in the other to another
drumming in the kitchen
talking in the room with the blue-tile fireplace
so many bodies I couldnt hear the music
from  inside the  hallway
just saw the taller heads
moving together to different beats
in almost darkness 
that crazy night at the Wahs’ place
if that wasnt a party of this kind
everybody landing on that bed
everybody kissing everybody
we had to go outside to pee
because the lineup for the can so long 
somehow to do with that small space
that it was so tight that everybody had to rub every
body simply to go anywhere
It was gorgeous 
after the Vancouver Poetry Conference (1963)
Roy Kiyooka started
dropping by   when he left his studio
there’d always be a light on
somewhere in our building
and he could visit  any of us
separately or clustered 
one time
he told me he had a painting he wanted to give me
but it was big and heavy
he borrowed a truck and someone helped him
up the dusty always dirty long stairs
with Hoarfrost
which we hung on a wall in a room just big enough to hold
my round oak table
(used to be Bowerings’ they bought a whole household of furniture for $80 and
when they moved they gave it to Joan and then when she moved she stored it
with me)
a wall that later Elsa and I tore apart with a screwdriver and hammer
shouting angry hexes at Robert all the way 
after and during that conference--
Olson, Creeley, Duncan, Levertov, Avison, Whalen, Ginsberg--
Roy and I became friends
and there were readings in my room
every second Sunday
red cast iron pot full of bean soup, corn chowder, spicey meatball vegetable stew
simmering and then cheese scones in the oven
people would come and read their new work one week
and the next week there’d be a Tish meeting
with Daphne Marlatt, Dan MacLeod, Pete Auxier, David Cull & David Dawson 
rent $60 a month didnt change
and some years it was cold
the wind so cold on side facing the North Shore
that Hydro was $60 per month
and that wall frozen behind my pillows 
the police were something else
they felt they had a right to question anybody so
Cliff would be up at the laundromat on 4th or
at Jackson’s to get some hamburger and be walking back with an
economics book in one hand and meat wrapped in brown paper in the other
and they’d stop him and ask him what he was doing and my friend Ray Wargo
would get stopped almost every second time he’d drop in to visit
where are you going and why and how long will you be 
someone was always getting busted
someone was always tripping out
someone was always visiting from   or going to  Europe or Japan 
here is a journal entry on June 9:
evening of the first ever national leaders debate on TV
“I am looking forward to seeing Trudeau--hope he gets pushed into/onto
answering more directly than he has in the past. I, like many others including
every gay man I know, do have a crush on him: he has much more style than
any Canadian politician so far. I mean style in the true sense of the word, it is
him, not affected… Cliff, of course, doesn’t trust him at all and thinks he’s a sell-
out. I don’t go that far, yet. But I do think that compromising is the only way a
politician can work this country and I do not like all the PR, razzmatazz,
fundraising, and allegiances that go into just getting elected: our system seems
to be based on gullibility…”  
coming home at night up Yew Street
whether from downtown or the beach or Paul the butcher’s or Elsie the baker’s
I loved looking up at my North-facing windows
goldy  gold  mesh curtains
light filtering through
so warm  and so inviting 
 
",G. Maria Hindmarch,"Relationships,Friends & Enemies,Arts & Sciences,Poetry & Poets,Social Commentaries,Cities & Urban Life"
7,"
                    I Make Promises Before I Dream
                ","
No unclaimed, cremated mothers this year
 
Nor collateral white skin
 
No mothers folding clothes to a corporate park preamble
No sons singing under the bright lights of a lumber yard
 
Quantum reaganomics and the tap steps of turning on a friend
 
New York trophy parts among
            the limbs of decent people
 
                       Being an enraged artist is like
                       entering a room and not knowing what to get high off of
 
                                                      My formative symbols/My upbringing flying to an agent’s ears
                                                                                                          I might as well be an activist
 
                                                                                                 Called my girlfriend and described
                                                                All the bottles segregationists had thrown at me that day
 
                                                                   Described recent blues sites and soothing prosecutions
                                                                                                                     I feared for my poetry
 
You have to make art every once in a while
            While in the company of sell-outs
            Accountant books in deified bulk
            Or while waiting for a girl under a modern chandelier
                                               
                                                           Or in your last lobby as a wanderer
 
                                                                                                  The prison foot-races the museum
 
                                                                                                                        My instrument ends
 
                        I mean, what is a calendar to the slave?
                                               Also, what is a crystal prism?
 
                                                                                                                    “He bought this bullet,                                                                                                                                                              bought its flight,                                                                                                                                                        then bought two more”
 
 
",Tongo Eisen-Martin,"Arts & Sciences,Poetry & Poets,Social Commentaries,Money & Economics,Race & Ethnicity"
8,"
                    Fault Whispers
                ","
    “A skeleton’s mouth makes few concessions to prettiness.”
                                                                             —Jacques Joubert  
Because your mouth is violet and you cannot speak 
Because maybe I like Thursdays the way I used to hate baths, and  
baths are boundaries whose sharpness will be blurred with more information 
Because movement itself is a form of currency  
Frozen in articulations 
Because don’t indulge yourself in the idea of restraint  
The blackened patches could have been pubic hair on dead bodies, or simply
the wildness of neglect 
without horizons or spaces  
Because it’s a comfort to know waste is the fuel of contradictions 
a knife rusted before its first use  
Because in the barest of rooms, nothing is comprehensible 
Neither fanatic nor mystic  
Because the first weeks of September came and went and the weather held  
Not woven by innocent hands 
Because this stasis is preparation  
Because you’re deceased, maimed or in Philadelphia 
 
",Mark Tardi,"Living,Death,The Mind"
9,"
                    The Short Answer
                ","
I am forced to sleepwalk much of the time.
We hold on to these old ways, are troubled
sometimes and then the geyser goes away,
time gutted. In and of itself there is
no great roar, force pitted against force that
makes up in time what it loses in speed.
The waterfalls, the canyon, a royal I-told-you-so
comes back to greet us at the beginning.
How was your trip? Oh I didn’t last
you see, folded over like the margin
of a dream of the thing-in-itself. Well, and
what have we come to? A paper-thin past,
just so, and ‘tis pity. We regurgitate
old anthems and what has come to pass, and why
dwell on these. Why make things more difficult
than they already are? Because if it’s boring
in a different way, that’ll be interesting too.
That’s what I say.
 
That rascal, he jumped over the fence.
I’m wiping my pince-nez now. Did you ever hear from
the one who said he’d be back once it was over,
who eluded me even in my sleep? That was a particularly
promising time, we thought. Now the sun’s out
and it’s raining again. Just like a day from
the compendium. I’ll vouch for you,
and we can go on scrolling as though nothing had risen,
the horizon forest looks back at us. The preacher
shook his head, the evangelist balanced two spools
at the end of his little makeshift rope. We’d gone too far.
We’d have to come back in a day or so.
",John Ashbery,"Living,The Mind,Time & Brevity"
10,"
                    Pushing Up Onto Its Elbows, the Fable Lifts Itself Into Fact.
                ","



after Tafisha Edwards



                    
                    To disappear Black girls at a low volume of sustained public panic is to insinuate the inconstancy of Black girls. The disposability of Black girls who are prone to disappearance. A body bag somewhere waits with little hoopla about its lot. Absence becomes the lot of Black girls.
 
_________ will eventually accept as fact that absence becomes a lot of Black girls. In what becomes the normal day-to-day, Black girls are harder to find, _________ would think first, not that there are few attempts to find them. The question isn’t whether Black girls often go missing. If no one else, Black girls miss each other.
 
_________  would be remiss to not recognize how everything is made less in the absence of Black girls, if _________ could miss what _________ have never been required to recognize, such as:
 
Unlike missing Black girls, taking Black girls is a Western custom. It seems likely that such a statement will soon appear inaccurate: the white space in new textbook editions will have nothing to say about it, if the white spaces behind those textbooks have anything to say about it. That Black girls are quintessential American palimpsests is not a question but an anxiety. _________ would rather forget that Black girls were made receptacles for what the authors of Liberty and Independence would not speak. That Liberty and Independence were imaginable only in the absent-presence of taken Black girls, enslaved Black girls, Black girls on whom a foundational economic system so depended that white men would kill each other and take taken Black girls.
 
The constancy of Black girls is someone’s anxiety. The soil is thick with hidden Black girls, the myth that only quiet Black girls are worthwhile Black girls. The soil turns as _________  turn away from loud Black girls and their cacophonic insistence on Black girls.
 
_________ have not insisted enough upon the fact of Black girls, are often loudly shocked to find Black girls disappeared. Loud, unsustainable shock has a way of disappearing Black girls. Outrage, too, has a way of being disappeared.
                ",Justin Phillip Reed,"Living,Sorrow & Grieving,Relationships,Family & Ancestors,Social Commentaries,Crime & Punishment,History & Politics,Race & Ethnicity"
